error rate;success probability
0.0;1.00000000000000
0.01;1.00000000000000
0.02;0.990000000000000
0.03;1.00000000000000
0.04;1.00000000000000
0.05;1.00000000000000
0.06;0.990000000000000
0.07;0.990000000000000
0.08;0.990000000000000
0.09;0.990000000000000
0.1;0.980000000000000
0.11;1.00000000000000
0.12;1.00000000000000
0.13;0.980000000000000
0.14;1.00000000000000
0.15;1.00000000000000
0.16;0.970000000000000
0.17;0.990000000000000
0.18;1.00000000000000
0.19;1.00000000000000
0.2;1.00000000000000
0.21;1.00000000000000
0.22;1.00000000000000
0.23;1.00000000000000
0.24;0.980000000000000
0.25;1.00000000000000
0.26;0.990000000000000
0.27;0.990000000000000
0.28;0.970000000000000
0.29;0.980000000000000
0.3;0.980000000000000
0.31;1.00000000000000
0.32;0.940000000000000
0.33;0.770000000000000
0.34;0.530000000000000
0.35;0.100000000000000
0.36;0.0100000000000000
0.37;0.000000000000000
0.38;0.000000000000000
0.39;0.000000000000000
0.4;0.000000000000000
0.41;0.000000000000000
0.42;0.000000000000000
0.43;0.000000000000000
0.44;0.000000000000000
0.45;0.000000000000000
0.46;0.000000000000000
0.47;0.000000000000000
0.48;0.000000000000000
0.49;0.000000000000000
0.5;0.000000000000000
